motion_type,year,month,n_citation,len_snippet,is_pro_se,is_in_re,attorney_len,citeCount_log,n_opcites_log,len_caseName_log,n_dockets_log,judge_freq,court_cacd,court_cand,court_flmd,court_flsd,court_ilnd,court_njd,court_nyed,court_nysd,court_paed,court_txsd,src_L,src_LU,src_U
ifp,1984.0,12.0,3.0,431.0,1,0,239.0,2.3978952727983707,1.0986122886681096,3.58351893845611,0.6931471805599453,11,False,False,False,True,False,False,False,False,False,False,False,True,False
ifp,2007.0,1.0,3.0,321.0,1,0,167.0,0.6931471805599453,1.3862943611198906,4.02535169073515,0.6931471805599453,20,False,False,False,False,False,False,True,False,False,False,False,True,False
ifp,1999.0,3.0,3.0,299.0,1,0,153.0,0.0,3.044522437723423,3.6635616461296463,0.6931471805599453,16,False,False,False,False,True,False,False,False,False,False,False,True,False
ifp,1993.0,12.0,3.0,380.0,1,0,19.0,0.0,0.0,2.833213344056216,0.6931471805599453,30,False,False,False,False,False,False,False,False,True,False,False,False,True
ifp,2011.0,6.0,3.0,302.0,1,0,41.0,0.0,3.258096538021482,2.833213344056216,0.6931471805599453,4,False,False,False,False,False,True,False,False,False,False,False,True,False
ifp,1987.0,3.0,3.0,302.0,0,0,0.0,2.0794415416798357,1.0986122886681096,2.5649493574615367,0.6931471805599453,55,False,False,False,False,True,False,False,False,False,False,False,True,False
ifp,2017.0,11.0,3.0,428.0,0,0,181.0,0.0,0.0,3.258096538021482,0.6931471805599453,27,False,False,False,False,False,False,False,False,True,False,False,False,True
ifp,2002.0,7.0,3.0,314.0,0,0,55.0,0.0,1.0986122886681096,4.204692619390966,0.6931471805599453,14,False,False,False,False,False,False,False,False,True,False,False,True,False
ifp,2009.0,5.0,3.0,387.0,1,0,45.0,0.0,0.0,2.8903717578961645,0.6931471805599453,4,False,False,True,False,False,False,False,False,False,False,False,False,True
ifp,1994.0,7.0,3.0,380.0,0,0,340.0,1.0986122886681096,2.639057329615259,2.833213344056216,0.6931471805599453,5,False,False,False,False,False,False,True,False,False,False,False,False,True
ifp,2010.0,9.0,3.0,325.0,1,0,117.0,1.0986122886681096,4.060443010546419,3.258096538021482,0.6931471805599453,1,True,False,False,False,False,False,False,False,False,False,False,True,False
ifp,1998.0,9.0,3.0,325.0,1,0,248.0,1.3862943611198906,2.639057329615259,3.5263605246161616,0.6931471805599453,1,True,False,False,False,False,False,False,False,False,False,False,True,False
ifp,1996.0,7.0,3.0,281.0,1,0,263.0,1.791759469228055,3.1354942159291497,2.9444389791664403,0.6931471805599453,2,False,False,False,False,False,True,False,False,False,False,False,True,False
ifp,1989.0,3.0,3.0,302.0,1,0,28.0,0.0,2.0794415416798357,2.70805020110221,0.6931471805599453,6,False,False,False,False,True,False,False,False,False,False,False,True,False
ifp,1997.0,12.0,3.0,315.0,1,0,96.0,2.4849066497880004,2.302585092994046,3.6888794541139363,0.6931471805599453,55,False,False,False,False,True,False,False,False,False,False,False,True,False
ifp,1998.0,7.0,3.0,325.0,1,0,99.0,1.0986122886681096,1.6094379124341003,3.1354942159291497,0.6931471805599453,2,False,False,False,False,False,False,False,True,False,False,False,True,False
ifp,2013.0,1.0,3.0,406.0,1,0,121.0,3.295836866004329,4.543294782270004,2.8903717578961645,0.6931471805599453,1,True,False,False,False,False,False,False,False,False,False,False,False,True
ifp,2001.0,7.0,3.0,381.0,1,0,133.0,1.3862943611198906,0.6931471805599453,3.7376696182833684,0.6931471805599453,8,False,False,False,False,True,False,False,False,False,False,False,True,False
ifp,1990.0,6.0,3.0,402.0,1,0,81.0,0.6931471805599453,1.791759469228055,3.258096538021482,0.6931471805599453,1,False,False,False,False,False,False,False,True,False,False,False,False,True
ifp,2008.0,4.0,3.0,295.0,1,0,22.0,0.0,3.258096538021482,3.8501476017100584,0.6931471805599453,17,False,False,True,False,False,False,False,False,False,False,False,True,False
